roast,tds_percent,pe_percent,attribute,attribute_key,mean_intensity,n_or_se_if_given,lsd_group,fisher_lsd_main_effect,varied_factor,significant_interaction,source_table
all,1.25,all,Cocoa Aroma,cocoa_aroma,23.4,,,n.s.,tds,,Frost2020_SI Supplemental B
all,1.50,all,Cocoa Aroma,cocoa_aroma,24.4,,,n.s.,tds,,Frost2020_SI Supplemental B
all,all,16,Cocoa Aroma,cocoa_aroma,25.4,,,n.s.,pe,,Frost2020_SI Supplemental B
all,all,20,Cocoa Aroma,cocoa_aroma,23.4,,,n.s.,pe,,Frost2020_SI Supplemental B
all,all,24,Cocoa Aroma,cocoa_aroma,23.1,,,n.s.,pe,,Frost2020_SI Supplemental B
Light,all,all,Dark Chocolate Flavor,dark_chocolate_flavor,17.8,,c,1.66,roast,,Frost2020_SI Supplemental B
Medium,all,all,Dark Chocolate Flavor,dark_chocolate_flavor,19.8,,b,1.66,roast,,Frost2020_SI Supplemental B
Dark,all,all,Dark Chocolate Flavor,dark_chocolate_flavor,22.1,,a,1.66,roast,,Frost2020_SI Supplemental B
all,1.00,all,Dark Chocolate Flavor,dark_chocolate_flavor,20.2,,,1.66,tds,,Frost2020_SI Supplemental B
all,1.25,all,Dark Chocolate Flavor,dark_chocolate_flavor,20.1,,,1.66,tds,,Frost2020_SI Supplemental B
all,1.50,all,Dark Chocolate Flavor,dark_chocolate_flavor,19.5,,,1.66,tds,,Frost2020_SI Supplemental B
all,all,16,Dark Chocolate Flavor,dark_chocolate_flavor,18.4,,b,1.66,pe,,Frost2020_SI Supplemental B
all,all,20,Dark Chocolate Flavor,dark_chocolate_flavor,20.3,,a,1.66,pe,,Frost2020_SI Supplemental B
all,all,24,Dark Chocolate Flavor,dark_chocolate_flavor,21.1,,a,1.66,pe,,Frost2020_SI Supplemental B
Light,all,all,Dark Green Veg Flavor,dark_green_veg_flavor,20.0,,,n.s.,roast,,Frost2020_SI Supplemental B
Medium,all,all,Dark Green Veg Flavor,dark_green_veg_flavor,19.5,,,n.s.,roast,,Frost2020_SI Supplemental B
Dark,all,all,Dark Green Veg Flavor,dark_green_veg_flavor,19.2,,,n.s.,roast,,Frost2020_SI Supplemental B
all,1.00,all,Dark Green Veg Flavor,dark_green_veg_flavor,18.6,,,n.s.,tds,,Frost2020_SI Supplemental B
